File Name,Peak Time (s),Peak Flux (counts/s),Peak Above bkg (counts/s),Decay Rate (/s),Start Time (s),End Time (s),Rise Time (s),Decay Time (s),Duration (s),Category of Flare
ch2_xsm_20200622_v1_level2,109565556.40614499,14.36581362857974,6.610558713265832,0.002745794279438883,109561477.40614499,109569437.40614499,4079.0,3881.0,7960.0,[3]
ch2_xsm_20200622_v1_level2,109581196.40614499,12.320185676336694,7.954929126219284,0.0016058783266145777,109579645.40614499,109583411.40614499,1551.0,2215.0,3766.0,[0]
ch2_xsm_20200622_v1_level2,109595320.40614499,10.777541800839156,4.560278804113941,0.0022623964932012653,109594065.40614499,109596829.40614499,1255.0,1509.0,2764.0,[0]
ch2_xsm_20200622_v1_level2,109601075.40614499,11.801698001408957,6.114891132049218,0.0028540320683622653,109597033.40614499,109605063.40614499,4042.0,3988.0,8030.0,[3]
ch2_xsm_20200622_v1_level2,109602464.40614499,11.76864488398628,10.381084748631356,0.0012048432489554727,109600446.40614499,109605444.40614499,2018.0,2980.0,4998.0,[0]
ch2_xsm_20200622_v1_level2,109611997.40614499,17.288135231619652,20.523167068627423,0.00013436598345675704,109605087.40614499,109641967.40614499,6910.0,29970.0,36880.0,[1]
ch2_xsm_20200622_v1_level2,109616595.40614499,11.206125030214626,6.033560744721754,0.0014595628223486499,109615306.40614499,109618776.40614499,1289.0,2181.0,3470.0,[0]
ch2_xsm_20200622_v1_level2,109630757.40614499,11.465816097360738,8.356898189534185,0.004758884195319655,109627521.40614499,109633096.40614499,3236.0,2339.0,5575.0,[0]
